Title,Authors
3DTRIP: A General Framework for 3D Trajectory Recovery Integrated With Prediction.,"Yiyang Ni,Xu Zhao"
LocNDF: Neural Distance Field Mapping for Robot Localization.,"Cyrill Stachniss,Haofei Kuang,Louis Wiesmann,Jens Behley,Yue Pan,Tiziano Guadagnino,Ignacio Vizzo,Nicky Zimmerman"
Photometric LiDAR and RGB-D Bundle Adjustment.,"Giorgio Grisetti,Emanuele Giacomini,Omar Salem,Leonardo Brizi,Luca Di Giammarino"
Unsupervised Generation of Labeled Training Images for Crop-Weed Segmentation in New Fields and on Different Robotic Platforms.,"Cyrill Stachniss,Philipp Lottes,Jan Weyler,Yue Linn Chong,Jens Behley"
A Robotic System Integrated With CBCT for Cochlear Implant Surgery: Accuracy Improvement and Validation.,"Hengjia Liu,Zhijiang Du,Hongjian Yu,Feng Liu"
Adaptive Symmetry Reference Trajectory Generation in Shared Autonomy for Active Knee Orthosis.,"Xinyan Zhao,Hao Li,Hongqing Pan,Quanjun Song,Ningguang Yao,Rongkai Liu,Yu Wang,Tingting Ma"
Self-Spin Enabled Docking and Detaching of a UAV-UGV System for Aerial-Terrestrial Amphibious and Independent Locomotion.,"Daochun Li,Yuzhe Gao,Xin Dong,Binqi Yang,Zhan Tu,Lingxiao Deng,Yangjie Cui"
Category-Level 6D Pose Estimation Using Geometry-Guided Instance-Aware Prior and Multi-Stage Reconstruction.,"Tong Nie,Jie Ma,Mengxuan Sun,Ziming Fan,Yuehua Zhao,Junjie Wen"
B-Pose: Bayesian Deep Network for Camera 6-DoF Pose Estimation From RGB Images.,"Mohammed Bennamoun,Abd-Krim Seghouane,Aref Miri Rekavandi,Farid Boussa"
IR-MCL: Implicit Representation-Based Online Global Localization.,"Cyrill Stachniss,Haofei Kuang,Tiziano Guadagnino,Xieyuanli Chen,Nicky Zimmerman,Jens Behley"
A Normalized Disparity Loss for Stereo Matching Networks.,"Peng Xu,Shuya Chen,Xijun Zhao,Zhiyu Xiang"
Long-Term Localization Using Semantic Cues in Floor Plan Maps.,"Cyrill Stachniss,Tiziano Guadagnino,Xieyuanli Chen,Nicky Zimmerman,Jens Behley"
Vision-Based Autonomous Steering of a Miniature Eversion Growing Robot.,"Christos Bergeles,Zicong Wu,S. M. Hadi Sadati,Kawal S. Rhode"
A Novel Metamorphic Foot Mechanism With Toe Joints Based on Spring-Loaded Linkages.,"Jinkui Chu,Jianwei Sun,Meiling Zhang,Zhihui Qian,Songyu Zhang,Zhenyu Wang"
GRACO: A Multimodal Dataset for Ground and Aerial Cooperative Localization and Mapping.,"Yingrui Jie,Yang Kong,Shiyou Xu,Hui Cheng,Yilin Zhu"
Flexible Needle Bending Model for Spinal Injection Procedures.,"Ka-Wai Kwok,Yanzhou Wang,Kevin Cleary,Iulian Iordachita,Russell H. Taylor"
6D Pose Estimation Based on 3D Edge Binocular Reprojection Optimization for Robotic Assembly.,"Fei Liu,Hualin Hong,Qian Jiang,Yilin Yuan,Quan Mu,Shiwei Wu,Ye Tian,Dong Li"
GRACE: Online Gesture Recognition for Autonomous Camera-Motion Enhancement in Robot-Assisted Surgery.,"Anton Deguet,Nicol,Peter Kazanzides,Andrea Mariani,Elena De Momi"
Self-Supervised Local Topology Representation for Random Cluster Matching.,"Zhengxing Wu,Wenkai Chang,Peng Li"
Exploring the Mutual Influence Between Self-Supervised Single-Frame and Multi-Frame Depth Estimation.,"Jie Xiang,Jian Liu,Lifeng An,Haiyang Liu,Yun Wang"
